FESESION;HORA;VERPREV;ENERGIA;FEULTMOD;CDUSUARIO
2021-01-09 00:00:00;17;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;18;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;19;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;20;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;21;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;22;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;23;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-09 00:00:00;24;2;0.0;2021-01-08 00:43:17.740;SOLABEN
2021-01-10 00:00:00;1;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;2;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;3;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;4;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;5;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;6;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;7;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;8;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;9;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;10;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;11;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;12;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;13;2;2.2;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;14;2;6.8;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;15;2;7.9;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;16;2;14.4;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;17;2;24.4;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;18;2;16.4;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;19;2;3.7;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;20;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;21;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;22;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;23;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-10 00:00:00;24;2;0.0;2021-01-09 01:48:10.467;SOLABEN
2021-01-11 00:00:00;1;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;2;2;0.0;2021-01-10 01:18:52.440;SOLABEN
2021-01-11 00:00:00;3;2;0.0;2021-01-10 01:18:52.440;SOLABEN
